50;10;4;
codigo;semestre;numero;nome;curso;CH;area
1;1;T1;Introdução à Computação;CC;68;0001
2;2;T1;Introdução à Computação;CC;68;0001
3;1;T1;Estruturas de Dados;CC+ES;68;0001
4;2;T1;Estruturas de Dados;CC+ES;68;0001
5;1;T1;Algoritmos e Programação I;CC;102;0001
6;2;T1;Algoritmos e Programação I;CC;102;0001
7;1;T1;Banco de Dados;SI+ES;68;0001
8;2;T1;Banco de Dados;SI+ES;68;0001
9;1;T1;Redes de Computadores;CC+ES;68;0010
10;2;T1;Redes de Computadores;CC+ES;68;0010
11;2;T1;Sistemas Operacionais;CC+EC;68;0100
12;1;T1;Sistemas Operacionais;CC+EC;68;0100
13;2;T1;Inteligência Artificial;CC+SI;68;0100
14;1;T1;Inteligência Artificial;CC+SI;68;0100
15;2;T1;Engenharia de Software;CC+ES;102;1000
16;1;T1;Engenharia de Software;CC+ES;102;1000
17;2;T1;Computação Gráfica;CC+EC;68;0100
18;1;T1;Computação Gráfica;CC+EC;68;0100
19;2;T1;Compiladores;CC;68;0100
20;1;T1;Compiladores;CC;68;0100
21;1;T1;Teoria da Computação;CC+ES;68;0010
22;2;T1;Teoria da Computação;CC+ES;68;0010
23;1;T1;Sistemas Distribuídos;SI;102;0100
24;2;T1;Sistemas Distribuídos;SI;102;0100
25;1;T1;Desenvolvimento Web;CC+EC;68;1000
26;2;T1;Desenvolvimento Web;CC+EC;68;1000
27;2;T1;Interação Humano-Computador;CC+ES;68;0010
28;1;T1;Interação Humano-Computador;CC+ES;68;0010
29;2;T1;Inteligência Artificial Avançada;CC+ES;102;1000
30;1;T1;Inteligência Artificial Avançada;CC+ES;102;1000
31;1;T1;Redes Avançadas;CC+ES;68;0001
32;2;T1;Redes Avançadas;CC+ES;68;0001
33;1;T1;Segurança de Sistemas;SI;102;0100
34;2;T1;Segurança de Sistemas;SI;102;0100
35;1;T1;Computação em Nuvem;CC+ES;68;1000
36;2;T1;Computação em Nuvem;CC+ES;68;1000
37;1;T1;Empreendedorismo em TI;CC+EC;68;1000
38;2;T1;Empreendedorismo em TI;CC+EC;68;1000
39;1;T1;Bioinformática;CC+ES;68;0010
40;2;T1;Bioinformática;CC+ES;68;0010
41;1;T1;Redes de Computadores;CC+ES;68;0010
42;2;T1;Sistemas Operacionais;CC+EC;68;0100
43;1;T1;Inteligência Artificial Avançada;CC+ES;102;1000
44;1;T1;Algoritmos e Programação I;CC;102;0001
45;2;T1;Estruturas de Dados;CC+ES;68;0001
46;2;T1;Inteligência Artificial;CC+SI;68;0100
47;1;T2;Estruturas de Dados;CC+ES;68;0001
48;1;T1;Computação em Nuvem;CC+ES;68;1000
49;1;T1;Engenharia de Software;CC+ES;102;1000
50;1;T1;Sistemas Distribuídos;SI;102;0100

nome;CHmin1;CHmax1;CHmin2;CHmax2;preferencias;areas
Antonio Silva;80;260;70;250;15;0011;
2;1;
3;7;
5;9;
8;7;
15;10;
16;1;
21;2;
25;2;
26;10;
28;8;
36;3;
37;1;
41;9;
47;8;
49;5;
Maria Oliveira;50;230;40;220;19;0101;
2;7;
4;5;
5;5;
6;7;
12;1;
18;10;
20;6;
23;5;
24;4;
25;2;
29;10;
31;1;
42;10;
43;4;
44;6;
45;8;
47;5;
48;4;
50;4;
Carlos Ferreira;50;210;45;200;21;1100;
9;10;
10;10;
12;7;
16;6;
18;1;
19;10;
22;6;
23;7;
24;2;
25;6;
26;6;
28;3;
29;9;
30;3;
33;10;
34;8;
35;7;
37;10;
39;6;
46;7;
48;6;
Laura Mendes;80;250;75;240;24;1001;
1;1;
5;5;
7;5;
8;9;
11;2;
13;3;
14;6;
15;6;
16;10;
17;6;
19;7;
22;3;
23;10;
25;10;
26;3;
27;8;
28;1;
30;7;
31;8;
36;3;
40;10;
45;2;
46;5;
50;2;
André Santos;50;220;60;210;12;0010;
9;8;
10;6;
15;8;
16;5;
21;8;
22;7;
25;9;
29;3;
35;8;
37;4;
41;5;
43;3;
Ana Rodrigues;50;270;55;260;17;0101;
1;10;
2;5;
3;5;
12;3;
13;3;
18;9;
19;5;
20;4;
29;3;
32;3;
33;10;
36;8;
38;9;
42;6;
44;1;
48;1;
49;6;
Pedro Almeida;50;290;65;280;24;0011;
2;5;
3;10;
5;3;
6;4;
10;10;
15;10;
16;5;
22;7;
25;7;
27;10;
30;5;
31;1;
32;9;
35;7;
36;6;
37;6;
39;3;
40;7;
41;8;
43;6;
44;7;
45;8;
47;4;
48;4;
Fernanda Pereira;50;240;45;230;22;0101;
3;9;
4;5;
5;1;
6;8;
7;3;
13;9;
14;5;
15;9;
16;2;
19;3;
20;1;
25;2;
29;6;
30;7;
32;6;
33;10;
34;9;
35;10;
37;1;
43;6;
44;7;
47;3;
Ricardo Gomes;50;310;60;300;25;1010;
11;3;
12;3;
14;2;
15;10;
16;3;
17;5;
18;6;
19;5;
20;10;
21;7;
22;7;
23;7;
27;9;
28;9;
29;4;
30;9;
33;8;
34;9;
35;9;
37;6;
39;2;
40;10;
42;10;
49;4;
50;2;
Carla Lima;50;450;40;440;14;0100;
11;3;
15;8;
17;6;
19;6;
20;10;
23;2;
24;4;
29;10;
34;6;
35;7;
36;5;
37;1;
38;10;
48;3;
