50;10;4;
codigo;semestre;numero;nome;curso;CH;area
1;1;T1;Introdução à Computação;CC;68;0001
2;2;T1;Introdução à Computação;CC;68;0001
3;1;T1;Estruturas de Dados;CC+ES;68;0001
4;2;T1;Estruturas de Dados;CC+ES;68;0001
5;1;T1;Algoritmos e Programação I;CC;102;0001
6;2;T1;Algoritmos e Programação I;CC;102;0001
7;1;T1;Banco de Dados;SI+ES;68;0001
8;2;T1;Banco de Dados;SI+ES;68;0001
9;1;T1;Redes de Computadores;CC+ES;68;0010
10;2;T1;Redes de Computadores;CC+ES;68;0010
11;2;T1;Sistemas Operacionais;CC+EC;68;0100
12;1;T1;Sistemas Operacionais;CC+EC;68;0100
13;2;T1;Inteligência Artificial;CC+SI;68;0100
14;1;T1;Inteligência Artificial;CC+SI;68;0100
15;2;T1;Engenharia de Software;CC+ES;102;1000
16;1;T1;Engenharia de Software;CC+ES;102;1000
17;2;T1;Computação Gráfica;CC+EC;68;0100
18;1;T1;Computação Gráfica;CC+EC;68;0100
19;2;T1;Compiladores;CC;68;0100
20;1;T1;Compiladores;CC;68;0100
21;1;T1;Teoria da Computação;CC+ES;68;0010
22;2;T1;Teoria da Computação;CC+ES;68;0010
23;1;T1;Sistemas Distribuídos;SI;102;0100
24;2;T1;Sistemas Distribuídos;SI;102;0100
25;1;T1;Desenvolvimento Web;CC+EC;68;1000
26;2;T1;Desenvolvimento Web;CC+EC;68;1000
27;2;T1;Interação Humano-Computador;CC+ES;68;0010
28;1;T1;Interação Humano-Computador;CC+ES;68;0010
29;2;T1;Inteligência Artificial Avançada;CC+ES;102;1000
30;1;T1;Inteligência Artificial Avançada;CC+ES;102;1000
31;1;T1;Redes Avançadas;CC+ES;68;0001
32;2;T1;Redes Avançadas;CC+ES;68;0001
33;1;T1;Segurança de Sistemas;SI;102;0100
34;2;T1;Segurança de Sistemas;SI;102;0100
35;1;T1;Computação em Nuvem;CC+ES;68;1000
36;2;T1;Computação em Nuvem;CC+ES;68;1000
37;1;T1;Empreendedorismo em TI;CC+EC;68;1000
38;2;T1;Empreendedorismo em TI;CC+EC;68;1000
39;1;T1;Bioinformática;CC+ES;68;0010
40;2;T1;Bioinformática;CC+ES;68;0010
41;1;T1;Bioinformática;CC+ES;68;0010
42;2;T1;Computação Gráfica;CC+EC;68;0100
43;2;T1;Sistemas Operacionais;CC+EC;68;0100
44;2;T1;Redes Avançadas;CC+ES;68;0001
45;1;T2;Sistemas Operacionais;CC+EC;68;0100
46;1;T2;Bioinformática;CC+ES;68;0010
47;1;T2;Redes Avançadas;CC+ES;68;0001
48;1;T3;Redes Avançadas;CC+ES;68;0001
49;2;T1;Computação em Nuvem;CC+ES;68;1000
50;1;T1;Banco de Dados;SI+ES;68;0001

nome;CHmin1;CHmax1;CHmin2;CHmax2;preferencias;areas
Antonio Silva;80;260;70;250;8;0011;
2;9;
6;1;
7;2;
9;5;
25;3;
26;8;
31;9;
39;4;
Maria Oliveira;50;230;40;220;6;0101;
2;7;
5;7;
16;6;
23;7;
37;6;
47;1;
Carlos Ferreira;50;210;45;200;5;1100;
15;2;
33;8;
37;3;
43;9;
46;1;
Laura Mendes;80;250;75;240;6;1001;
16;4;
24;2;
29;3;
37;5;
40;10;
41;9;
André Santos;50;220;60;210;3;0010;
29;1;
30;10;
37;8;
Ana Rodrigues;50;270;55;260;7;0111;
3;8;
9;10;
14;8;
15;1;
30;7;
35;6;
47;4;
Pedro Almeida;50;290;65;280;9;1011;
10;10;
11;8;
18;5;
21;2;
25;4;
31;1;
35;6;
37;6;
47;7;
Fernanda Pereira;50;240;45;230;6;0101;
20;10;
33;4;
42;1;
44;1;
47;3;
48;4;
Ricardo Gomes;50;310;60;300;3;1010;
19;9;
39;10;
40;5;
Carla Lima;50;450;40;440;4;0100;
16;2;
17;1;
42;10;
49;4;
