Input File,Classes,Professors,LNS Perc,Total Nodes,Nodes Left,Total Time,Gap,Memory Used,LNS Time,LNS Calls,LNS Executions,LNS Sols Found,LNS Best Sols Found,GRASP Time,GRASP Calls,GRASP Sols Found,GRASP Best Sols Found,Best Sol At Node,Best Sol Found By
input1.csv,194,51,0,4371,0,13.866755,0.000000,174527782,0,0,0,0,0,0,0,0,0,4371,relaxation
input2.csv,167,52,0,1521,0,5.074175,0.000000,145864110,0,0,0,0,0,0,0,0,0,1485,relaxation
input3.csv,180,50,0,764,0,3.147993,0.000000,158055819,0,0,0,0,0,0,0,0,0,764,relaxation
input4.csv,123,46,0,6585,0,11.446153,0.000000,97094561,0,0,0,0,0,0,0,0,0,6566,relaxation
input5.csv,214,69,0,6127,0,33.990598,0.000000,275810798,0,0,0,0,0,0,0,0,0,6127,relaxation
input6.csv,79,24,0,1149,0,0.726801,0.000000,25513182,0,0,0,0,0,0,0,0,0,1144,relaxation
input7.csv,84,29,0,312155,1405,400.022762,0.002994,75088363,0,0,0,0,0,0,0,0,0,68904,relaxation
input8.csv,166,46,0,88806,7283,400.064570,0.001592,315252815,0,0,0,0,0,0,0,0,0,10932,relaxation
input9.csv,104,35,0,11897,0,15.297092,0.000000,52810599,0,0,0,0,0,0,0,0,0,11673,relaxation
input10.csv,113,31,0,827,0,1.108336,0.000000,48037930,0,0,0,0,0,0,0,0,0,826,relaxation
input11.csv,100,31,0,2113,0,3.409177,0.000000,46076243,0,0,0,0,0,0,0,0,0,2113,relaxation
input12.csv,115,37,0,1898,0,4.760324,0.000000,63821962,0,0,0,0,0,0,0,0,0,1890,relaxation
input13.csv,100,34,0,71340,0,98.872978,0.000000,47320045,0,0,0,0,0,0,0,0,0,70599,relaxation
input14.csv,99,28,0,39380,0,54.354311,0.000000,51260221,0,0,0,0,0,0,0,0,0,39380,relaxation
input15.csv,94,30,0,30370,0,45.624026,0.000000,54578445,0,0,0,0,0,0,0,0,0,30370,relaxation
input16.csv,89,28,0,147,0,0.241196,0.000000,32951105,0,0,0,0,0,0,0,0,0,147,relaxation
input17.csv,108,38,0,193300,34042,400.036817,0.003893,435410114,0,0,0,0,0,0,0,0,0,123657,relaxation
input18.csv,121,38,0,8548,0,20.208878,0.000000,74171550,0,0,0,0,0,0,0,0,0,8548,relaxation
input19.csv,95,29,0,959,0,1.516440,0.000000,39126096,0,0,0,0,0,0,0,0,0,957,relaxation
input20.csv,104,37,0,6515,0,9.558707,0.000000,64546140,0,0,0,0,0,0,0,0,0,83,relaxation
input21.csv,104,31,0,3745,0,8.239885,0.000000,55806735,0,0,0,0,0,0,0,0,0,3558,relaxation
input22.csv,133,41,0,152946,152910,400.049445,0.048414,924961946,0,0,0,0,0,0,0,0,0,261,relaxation
input23.csv,118,35,0,466,0,1.322699,0.000000,67217277,0,0,0,0,0,0,0,0,0,466,relaxation
input24.csv,117,33,0,14526,14077,40.756449,0.036163,176900642,0,0,0,0,0,0,0,0,0,1636,relaxation
input25.csv,107,34,0,3348,0,5.432320,0.000000,56507005,0,0,0,0,0,0,0,0,0,3348,relaxation
input26.csv,114,38,0,173321,3853,400.039218,0.002079,145329858,0,0,0,0,0,0,0,0,0,126026,relaxation
input27.csv,125,39,0,3719,0,6.435133,0.000000,86213851,0,0,0,0,0,0,0,0,0,3719,relaxation
input28.csv,114,39,0,40603,0,78.834454,0.000000,71917186,0,0,0,0,0,0,0,0,0,40603,relaxation
input29.csv,103,39,0,2658,0,4.193721,0.000000,62223811,0,0,0,0,0,0,0,0,0,2658,relaxation
input30.csv,109,36,0,5037,0,10.680730,0.000000,69596226,0,0,0,0,0,0,0,0,0,5037,relaxation
input31.csv,113,40,0,442,0,1.547284,0.000000,75249614,0,0,0,0,0,0,0,0,0,441,relaxation
input32.csv,97,36,0,233468,2327,400.032126,0.002597,110732476,0,0,0,0,0,0,0,0,0,93472,relaxation
input33.csv,104,36,0,158068,2514,400.033867,0.002427,148933533,0,0,0,0,0,0,0,0,0,134303,relaxation
input34.csv,161,54,0,962,0,4.326656,0.000000,153993290,0,0,0,0,0,0,0,0,0,931,relaxation
input35.csv,169,53,0,104792,21909,400.076003,0.007849,843397293,0,0,0,0,0,0,0,0,0,89668,relaxation
input36.csv,185,60,0,912,0,5.100939,0.000000,180570848,0,0,0,0,0,0,0,0,0,892,relaxation
input37.csv,152,53,0,74806,0,290.533232,0.000000,144583500,0,0,0,0,0,0,0,0,0,74806,relaxation
input38.csv,62,22,0,170,0,0.178789,0.000000,17298698,0,0,0,0,0,0,0,0,0,157,relaxation
input39.csv,130,43,0,25696,0,53.709144,0.000000,100249302,0,0,0,0,0,0,0,0,0,25696,relaxation
input40.csv,126,42,0,191539,1453,400.045810,0.002193,140805027,0,0,0,0,0,0,0,0,0,30919,relaxation
input41.csv,137,42,0,177357,174352,400.052349,0.039139,1225286146,0,0,0,0,0,0,0,0,0,154984,relaxation
input42.csv,142,35,0,337,0,1.550671,0.000000,90575356,0,0,0,0,0,0,0,0,0,337,relaxation
